名字,题目,选项1,选项2,选项3,选项4
情书,关于《情书》这本小说，女藤井树和渡边博子是怎么相识的,她们是学生时代的好友,渡边博子给亡夫写信寄到了女藤井树手里,她们喜欢上了同一个人,不指定
神雕侠侣,关于《神雕侠侣》这本小说，杨过最喜欢的师父是谁,小龙女,黄蓉,郭靖,金轮国师
小王子,关于《小王子》这本小说，主人公第一次遇到小王子是在哪里？,一个星球,撒哈拉沙漠,马里亚纳海沟,东非裂谷
冬牧场,关于《冬牧场》这本小说，小说讲述了李娟和什么牧民一家深入冬牧场生活经历,哈萨克,维吾尔,蒙古,汉
射雕英雄传,关于《射雕英雄传》这本小说，小说中教郭靖射箭的师傅是谁,黄药师,欧阳锋,哲别,铁木真
云边有个小卖部,关于《云边有个小卖部》这本小说，王莺莺和刘十三是什么关系,母亲与儿子,奶奶与孙子,姑姑和侄子,外婆与孙子
西游记,关于《西游记》这本小说，小说中孙悟空是唐僧的第几个徒弟,第一个,第二个,第三个,第四个
受戒,关于《受戒》这本小说，小说描绘了明海和小英子之间的什么故事,纯真友谊,朦胧爱情,凄惨经历,上学过程
平凡的世界（全三部）,关于《平凡的世界（全三部）》这本小说，郝红梅和孙少平是什么关系？,恋人,夫妻,前任,兄妹
撒哈拉的故事,关于《撒哈拉的故事》这本小说，娃娃新娘与三毛是什么关系？,邻居的女儿,好友的女儿,同事的女儿,荷西的亲戚
树上的男爵,关于《树上的男爵》这本小说，柯希莫和彼亚哥什么关系？,父子,叔侄,祖孙,兄弟
倾城之恋,关于《倾城之恋》这本小说，白宝络和范柳原是什么关系？,连襟,恋人,夫妻,姐弟
最好的我们,关于《最好的我们》这本小说，小说中耿耿同桌是谁,余淮,余周周,林杨,盛淮南
射雕英雄传,关于《射雕英雄传》这本小说，小说中苦练郭靖而不得的大漠女子是谁,华筝,黄蓉,梅超风,穆念慈
倚天屠龙记,关于《倚天屠龙记》这本小说，张翠山与殷素素的儿子叫什么名字,张无忌,张铁山,张涛,张不然
亮剑,关于《亮剑》这本小说，李云龙与赵刚的关系,政委,上下级,同学,以上都不对
水浒传,关于《水浒传》这本小说，小说中108位好汉中有几位女性,1,2,3,4
西游记,关于《西游记》这本小说，小说中孙悟空第一个师傅是谁,菩提祖师,唐僧,如来,观音
悲惨世界,关于《悲惨世界》这本小说，珂赛特是谁的女儿？,冉阿让,马吕斯,拉马克,芳汀
围城,关于《围城》这本小说，方鸿渐和唐晓芙的孩子叫什么？,方鸿图,方凤仪,方非攻,人物不存在
房思琪的初恋乐园,关于《房思琪的初恋乐园》这本小说，晓奇和房思琪是什么关系？,同为受害者,好闺蜜,好姐妹,同班同学
东方快车谋杀案,关于《东方快车谋杀案》这本小说，赫伯德夫人与被绑架的小女孩是什么关系？,好友,师生,母女,祖孙
悉达多,关于《悉达多》这本小说，悉达多同为贵族的好友叫做什么？,伽摩拉,乔达摩,瓦苏戴瓦,戈文达
哈利波特,关于《哈利波特》这本小说，赫敏和罗恩是什么关系？,恋人,姐弟,母子,仇人
雷雨,关于《雷雨》这本小说，鲁大海和周朴园是什么关系,父子关系,叔侄关系,爷孙关系,兄弟关系
骆驼祥子,关于《骆驼祥子》这本小说，小说中祥子的雇主是谁,刘四爷,曹先生,高妈,老马
云边有个小卖部,关于《云边有个小卖部》这本小说，程霜对刘十三是什么感情,亲情,爱情,不熟,同窗之情
傲慢与偏见,关于《傲慢与偏见》这本小说，达西先生和伊丽莎白之间的关系如何？,伊丽莎白初见时的关系友好,产生不好的印象,产生友好的印象,态度一直不变
百年孤独,关于《百年孤独》这本小说，何塞·阿尔卡蒂奥与乌尔苏拉之间的关系是？,兄妹,夫妻,父女,堂兄妹
百年孤独,关于《百年孤独》这本小说，蕾梅黛丝·摩斯科特与何塞·阿尔卡蒂奥的关系是？,母女,兄妹,祖父女孙,父女
冰与火之歌,关于《冰与火之歌》这本小说，伊里斯二世的子嗣中，唯一幸存的是谁？,伊里斯的妻子,韦赛里斯,丹妮莉丝·坦格利安,詹姆·兰尼斯特
冰与火之歌,关于《冰与火之歌》这本小说，谁是艾林谷的守护者？,艾德·史塔克,劳勃·拜拉席恩,丹妮莉丝·坦格利安,詹姆·兰尼斯特
不能承受的生命之轻,关于《不能承受的生命之轻》这本小说，托马斯和特瑞莎的关系最初是？,兄妹,夫妻,好友,同事
灿烂千阳,关于《灿烂千阳》这本小说，玛黎安与娜娜的关系是什么？,母女关系,姊妹关系,主仆关系,邻居关系
恶意,关于《恶意》这本小说，野野口修与日高邦彦的关系是?,同窗好友,兄弟,儿子和父亲,同事
弗兰肯斯坦,关于《弗兰肯斯坦》这本小说，VictorFrankenstein是哪个人造人的创造者？,弗兰肯的怪物,玛丽·雪莱,维克多弗兰肯斯坦,奥特兰托堡的主人
哈利波特,关于《哈利波特》这本小说，哈利波特的麻瓜阿姨和姨丈对他的态度如何？,友善,不友善,冷漠,支持
哈利波特,关于《哈利波特》这本小说，哈利波特的新黑魔法防御术教师是谁？,威斯莱家的佛地魔追随者,路平教授,桃乐丝·恩不里居,鲁霸·海格
红楼梦,关于《红楼梦》这本小说，贾府中的宝玉与湘云的关系是：,堂兄妹,表兄妹,朋友,同学
教父,关于《教父》这本小说，麦可·柯里昂是哪位人物的儿子？,维托·柯里昂,桑尼,毒贩,警长
教父,关于《教父》这本小说，柯里昂家族的大哥桑尼是谁的兄弟？,维托·柯里昂,麦可·柯里昂,警长,毒贩
解忧杂货店,关于《解忧杂货店》这本小说，敦也和翔太、幸平的关系是？,兄弟,朋友,同学,表亲
金色梦乡,关于《金色梦乡》这本小说，青柳雅春与森田森吾的关系是什么？,邻居,大学同学,亲兄弟,合作伙伴
绝叫,关于《绝叫》这本小说，铃木阳子和她的母亲之间的关系如何？,亲密和理解,冷淡和疏远,恶劣和矛盾,关心但疏远
绝叫,关于《绝叫》这本小说，奥贯绫乃与铃木阳子的关系是什么？,母女,姐妹,朋友,刑警与犯罪嫌疑人
了不起的盖茨比,关于《了不起的盖茨比》这本小说，梅耶·沃尔夫西恩是盖茨比的什么人？,商业合伙人,导师,副手,家族成员
亮剑,关于《亮剑》这本小说，李云龙与楚云飞最初是什么关系？,盟友,敌人,无关系,同学
亮剑,关于《亮剑》这本小说，郑波在小说中是李云龙的什么身份？,兄弟,战友,亲戚,敌人
陆犯焉识,关于《陆犯焉识》这本小说，陆焉识与丹丹的关系是？,父女关系,兄妹,夫妻,叔侄
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，谁是琳奈·瑞吉威的好友，也是西蒙·道尔的前妻？,杰奎琳·贝尔福,罗莎莉,康莉亚·罗伯森,贝斯奈医生
尼罗河上的惨案,关于《尼罗河上的惨案》这本小说，谁是杰奎琳·贝尔福的前夫？,西蒙·道尔,贝斯奈医生,瑞提先生,吉姆·费松
